Tag,Symbols,Percentage
a,1328503,41.86365807820246
column,1,3.151190330635494e-05
div,285720,9.003581012691734
h2,83153,2.6203092956333327
h3,67745,2.134773889489016
p,509412,16.052541687096884
span,488877,15.405444752700886
text,56,0.001764666585155877
title,28945,0.9121120412024439
u,417,0.013140463678750013
h1,23325,0.735015144620729
h5,16402,0.5168582380308337
h6,11622,0.36623134022645715
label,11989,0.37779620873988945
button,8678,0.2734602968925482
h4,60304,1.9002938169864283
li,81767,2.5766337976507248
textarea,14,0.0004411666462889692
ul,1472,0.04638552166695448
figcaption,8514,0.26829234475030594
option,80566,2.5387880017797926
acronym,17,0.0005357023562080341
td,25205,0.7942575228366764
nav,2,6.302380661270988e-05
tr,3,9.453570991906483e-05
center,528,0.01663828494575541
time,23427,0.7382293587579772
path,88,0.002773047490959235
tbody,2,6.302380661270988e-05
header,628,0.019789475276390904
summary,313,0.009863225734889096
section,123,0.0038759641066816583
video,60,0.0018907141983812966
var,17,0.0005357023562080341
cite,554,0.01745759443172064
s,241,0.00759436869683154
th,1417,0.044652366985104955
iframe,264,0.008319142472877706
legend,127,0.004002011719907077
b,619,0.01950586814663371
abbr,286,0.009012404345617514
quote,839,0.026438486874031795
strong,1034,0.03258330801877101
font,6268,0.19751660992423278
em,107,0.0033717736537799787
map,3,9.453570991906483e-05
amp-fit-text,1128,0.03554542692956837
template,24,0.0007562856793525187
strike,64,0.002016761811606716
tspan,5,0.00015755951653177472
small,212,0.006680523500947248
dd,4304,0.13562723183055167
dt,1087,0.03425343889400782
i,77,0.0024264165545893304
body,13,0.0004096547429826142
head,12,0.00037814283967625934
sup,10,0.00031511903306354945
footer,166,0.0052309759488549205
use,1,3.151190330635494e-05
noscript,3821,0.12040698253358223
source,5,0.00015755951653177472
defs,1,3.151190330635494e-05
big,18,0.000567214259514389
date,155,0.004884345012485016
q,1679,0.05290848565136995
address,127,0.004002011719907077
figure,1,3.151190330635494e-05
select,8,0.0002520952264508395
form,1,3.151190330635494e-05
desc,314,0.009894737638195452
aside,1,3.151190330635494e-05
blockquote,236,0.007436809180299766
a-img,6,0.00018907141983812967
a-video,3,9.453570991906483e-05
pre,107,0.0033717736537799787
ng-pluralize,1,3.151190330635494e-05
bdo,58,0.0018276903917685866
btn,36,0.001134428519028778
spann,12,0.00037814283967625934
nobr,55,0.001733154681849522
optgroup,1,3.151190330635494e-05
quickcategories,1,3.151190330635494e-05
